observed_on,time_observed_at,quality_grade,latitude,longitude,positional_accuracy,private_latitude,private_longitude,public_positional_accuracy,scientific_name,common_name
2023-03-01,2023-03-01 17:20:44 UTC,research,35.9128116667,-119.4243166667,4,,,4,Agelaius tricolor,Tricolored Blackbird
2023-03-01,2023-03-01 17:09:00 UTC,research,36.6372639942,-121.9363114135,117,,,117,Rissa tridactyla,Black-legged Kittiwake
2023-03-01,2023-03-01 18:20:50 UTC,research,36.5073788775,-121.8896357344,10,,,28534,Batrachoseps luciae,Santa Lucia Mountains Slender Salamander
2023-03-01,2023-03-01 18:22:00 UTC,research,37.4366865272,-122.0994495499,15,,,15,Nycticorax nycticorax,Black-crowned Night Heron
2023-03-01,,research,34.3417181206,-119.2357634839,147,,,28846,Nannopterum auritum,Double-crested Cormorant
2023-03-01,2023-03-01 20:30:19 UTC,research,40.4291533333,-121.865555,4,,,4,Coccothraustes vespertinus,Evening Grosbeak
2023-03-01,2023-03-01 17:42:27 UTC,research,38.2691427057,-120.8774425048,516,,,516,Haliaeetus leucocephalus,Bald Eagle
2023-03-01,2023-03-01 16:37:00 UTC,research,32.757613,-117.225897,,,,,Egretta rufescens,Reddish Egret
2023-03-01,2023-03-01 21:52:01 UTC,research,34.1719882593,-118.9500488341,,,,,Accipiter striatus,Sharp-shinned Hawk
2023-03-01,2023-03-01 20:45:14 UTC,research,33.8113533333,-116.5157783333,4,,,4,Calypte costae,Costa's Hummingbird
2023-03-01,2023-03-01 16:37:00 UTC,research,37.5012536551,-122.4822783786,15,,,15,Podiceps auritus,Horned Grebe
2023-03-01,2023-03-01 23:15:00 UTC,research,37.6351216611,-118.9702568,57,,,57,Dryobates albolarvatus,White-headed Woodpecker
2023-03-01,2023-03-01 18:32:31 UTC,research,37.4325559301,-121.8531730017,4,,,28388,Ambystoma californiense,California Tiger Salamander
2023-03-01,2023-03-01 18:35:00 UTC,research,37.5891597415,-122.3161487919,136,,,136,Podiceps auritus,Horned Grebe
2023-03-01,2023-03-01 18:39:00 UTC,research,37.5873171,-122.315319,,,,,Nannopterum auritum,Double-crested Cormorant
2023-03-01,2023-03-01 21:02:54 UTC,research,37.1718419529,-121.7602550782,4737,,,4737,Circus hudsonius,Northern Harrier
2023-03-01,2023-03-01 18:29:00 UTC,research,37.5494223304,-121.912727954,,,,28388,Ambystoma californiense,California Tiger Salamander
2023-03-01,2023-03-01 19:47:00 UTC,research,37.5412859503,-121.9020523994,,,,28388,Ambystoma californiense,California Tiger Salamander
2023-03-01,2023-03-02 01:48:53 UTC,research,40.5739851297,-124.3468899911,32,,,32,Haliaeetus leucocephalus,Bald Eagle
2023-03-01,2023-03-01 18:12:38 UTC,research,36.957645,-121.96958,4,,,4,Pandion haliaetus,Osprey
2023-03-01,2023-03-01 18:28:00 UTC,research,37.4758533333,-122.448455,,,,,Rissa tridactyla,Black-legged Kittiwake
2023-03-01,2023-03-02 01:08:17 UTC,research,37.4939925009,-122.13197498,109,,,109,Falco peregrinus,Peregrine Falcon
2023-03-01,2023-03-02 00:13:00 UTC,research,32.759709177,-116.9519626489,192,,,29066,Spea hammondii,Western Spadefoot
2023-03-01,2023-03-02 02:40:00 UTC,research,32.6870098652,-116.8411862968,192,,,29066,Spea hammondii,Western Spadefoot
2023-03-01,2023-03-01 15:39:04 UTC,research,33.1624701284,-117.3457616195,2655,,,2655,Pelecanus occidentalis,Brown Pelican
2023-03-01,2023-03-01 19:41:41 UTC,research,38.4589336655,-122.664081532,2134,,,2134,Nycticorax nycticorax,Black-crowned Night Heron
2023-03-01,2023-03-02 02:42:37 UTC,research,32.6712257019,-116.8720446477,,,,29066,Spea hammondii,Western Spadefoot
2023-03-01,2023-03-02 02:41:21 UTC,research,32.6353120901,-116.801361999,,,,29066,Spea hammondii,Western Spadefoot
2023-03-01,2023-03-02 01:53:00 UTC,research,33.5427189,-117.7853568,9036,,,9036,Ptychoramphus aleuticus,Cassin's Auklet
2023-03-01,2023-03-02 00:14:00 UTC,research,32.6860998021,-116.8049973406,,,,29066,Spea hammondii,Western Spadefoot
2023-03-01,2023-03-02 02:37:00 UTC,research,32.7679765917,-116.8895918809,,,,29066,Spea hammondii,Western Spadefoot
2023-03-01,2023-03-01 19:51:33 UTC,research,37.7410306688,-122.2299208046,24,,,24,Haliaeetus leucocephalus,Bald Eagle
2023-03-01,2023-03-02 01:54:00 UTC,research,33.0162315,-116.9122403,195,,,195,Haliaeetus leucocephalus,Bald Eagle
2023-03-02,2023-03-02 16:19:24 UTC,research,37.5527083333,-122.08815,4,,,4,Haliaeetus leucocephalus,Bald Eagle
2023-03-02,2023-03-02 17:23:29 UTC,research,32.6387863159,-116.9441146851,68,,,68,Nannopterum auritum,Double-crested Cormorant
2023-03-02,2023-03-02 17:50:11 UTC,research,33.8457716667,-118.397445,3,,,3,Nycticorax nycticorax,Black-crowned Night Heron
2023-03-02,2023-03-02 16:50:53 UTC,research,33.7953886316,-117.7527815985,22,,,22,Nycticorax nycticorax,Black-crowned Night Heron
2023-03-02,2023-03-02 16:51:26 UTC,research,33.7952667925,-117.7528708166,22,,,22,Nycticorax nycticorax,Black-crowned Night Heron
2023-03-02,2023-03-02 20:12:48 UTC,research,37.4682483502,-122.446851391,27,,,27,Anarhynchus nivosus,Snowy Plover
2023-03-02,2023-03-02 20:22:20 UTC,research,37.4725762512,-122.4474473249,35,,,35,Anarhynchus nivosus,Snowy Plover
2023-03-02,2023-03-02 21:57:29 UTC,research,33.9281421458,-117.250318757,4,,,28902,Spea hammondii,Western Spadefoot
2023-03-02,2023-03-02 22:02:49 UTC,research,38.8114322441,-123.5440288915,5,,,28181,Dicamptodon ensatus,California Giant Salamander
2023-03-02,2023-03-02 16:59:16 UTC,research,33.7951756537,-117.752150091,72,,,72,Nannopterum auritum,Double-crested Cormorant
2023-03-02,2023-03-02 22:18:19 UTC,research,33.6667716667,-117.9075283333,,,,,Pandion haliaetus,Osprey
2023-03-02,2023-03-02 20:23:00 UTC,research,33.5433749758,-117.7040484641,15,,,15,Pandion haliaetus,Osprey
2023-03-01,2023-03-02 05:31:32 UTC,research,34.0562599112,-118.2699509408,5,,,5,Nycticorax nycticorax,Black-crowned Night Heron
2023-03-02,2023-03-02 21:10:00 UTC,research,37.6638917,-122.389382,1494,,,1494,Podiceps auritus,Horned Grebe
2023-03-02,2023-03-02 21:52:00 UTC,research,37.6564763339,-122.3767641354,61,,,61,Nannopterum auritum,Double-crested Cormorant
2023-03-02,2023-03-02 17:46:43 UTC,research,32.6077774258,-116.9960458726,7,,,29066,Spea hammondii,Western Spadefoot
2023-03-02,2023-03-03 00:42:31 UTC,research,33.78643,-116.28633,5,,,5,Calypte costae,Costa's Hummingbird
2023-03-01,2023-03-01 18:19:00 UTC,research,38.5571299532,-121.2581414522,212,,,212,Nannopterum auritum,Double-crested Cormorant
2023-03-02,2023-03-02 23:49:32 UTC,research,40.8187707906,-124.0340244308,28,,,28,Aneides vagrans,Wandering Salamander
2023-03-02,2023-03-03 03:26:05 UTC,research,40.8770580711,-124.0712212942,79,,,79,Aneides vagrans,Wandering Salamander
2023-03-02,2023-03-02 23:58:39 UTC,research,37.6333583333,-122.4978638889,,,,,Falco peregrinus,Peregrine Falcon
2023-03-02,2023-03-03 00:29:26 UTC,research,37.9246181717,-122.5481465633,89,,,89,Accipiter striatus,Sharp-shinned Hawk
2023-03-02,2023-03-02 20:51:00 UTC,research,40.6645670125,-123.9475189991,4,,,27908,Rana aurora,Northern Red-legged Frog
2023-03-01,2023-03-01 19:02:48 UTC,research,39.1895373867,-122.0409626723,103,,,103,Mareca penelope,Eurasian Wigeon
2023-03-02,2023-03-02 23:29:00 UTC,research,36.9612138889,-122.0030222222,,,,,Nannopterum auritum,Double-crested Cormorant
2023-03-02,2023-03-02 23:32:00 UTC,research,36.9616361111,-122.0027777778,,,,,Podiceps auritus,Horned Grebe
2023-03-02,2023-03-03 00:42:04 UTC,research,37.5113151541,-122.3766803795,71,,,71,Haliaeetus leucocephalus,Bald Eagle
2023-03-01,,research,38.6273956971,-121.2474230622,15,,,15,Coccothraustes vespertinus,Evening Grosbeak
2023-03-02,,research,38.6515842022,-121.2184953036,61,,,61,Accipiter striatus,Sharp-shinned Hawk
2023-03-02,2023-03-02 20:44:00 UTC,research,34.556031378,-118.1285961834,52,,,52,Pandion haliaetus,Osprey
2023-03-02,2023-03-02 22:13:00 UTC,research,37.244838944,-121.9701486165,275,,,275,Nannopterum auritum,Double-crested Cormorant
2023-03-02,2023-03-02 22:59:00 UTC,research,38.6273754109,-121.2474987256,31,,,31,Coccothraustes vespertinus,Evening Grosbeak
2023-03-02,2023-03-03 03:32:30 UTC,research,37.5254688832,-120.8536789566,,,,,Nycticorax nycticorax,Black-crowned Night Heron
2023-03-01,2023-03-01 19:48:03 UTC,research,37.7728,-122.3959633333,14,,,14,Nannopterum auritum,Double-crested Cormorant
2023-03-02,2023-03-02 19:02:00 UTC,research,37.46431206,-121.87233358,,,,,Pica nuttalli,Yellow-billed Magpie
2023-03-02,2023-03-02 19:03:00 UTC,research,37.46439297,-121.87280036,,,,,Pica nuttalli,Yellow-billed Magpie
2023-03-02,2023-03-02 19:49:00 UTC,research,37.45533167,-121.8605940999,,,,,Nannopterum auritum,Double-crested Cormorant
2023-03-02,2023-03-02 19:49:00 UTC,research,37.45533167,-121.8605940999,,,,,Nycticorax nycticorax,Black-crowned Night Heron
2023-03-02,2023-03-03 00:40:17 UTC,research,33.8236916667,-116.5469805556,,,,,Calypte costae,Costa's Hummingbird
2023-03-03,2023-03-03 17:34:05 UTC,research,37.2731406759,-122.4097279266,111,,,111,Anarhynchus nivosus,Snowy Plover
2023-03-03,2023-03-03 18:15:48 UTC,research,37.2492916667,-121.965195,11,,,11,Nannopterum auritum,Double-crested Cormorant
2023-03-03,2023-03-03 17:37:00 UTC,research,34.021405,-117.187965,,,,,Selasphorus rufus,Rufous Hummingbird
2023-03-03,2023-03-03 20:04:38 UTC,research,36.971497755,-122.0115508846,51,,,51,Haliaeetus leucocephalus,Bald Eagle
2023-03-03,2023-03-03 20:11:02 UTC,research,32.570645,-117.1264416667,8,,,8,Passerculus sandwichensis beldingi,Belding's Sparrow
2023-03-03,2023-03-03 20:43:07 UTC,research,36.9545633333,-122.0612111667,3,,,3,Haliaeetus leucocephalus,Bald Eagle
2023-03-03,2023-03-03 17:11:11 UTC,research,37.7224416667,-122.3816133333,14,,,14,Mareca penelope,Eurasian Wigeon
2023-03-03,2023-03-03 21:08:19 UTC,research,37.4759416667,-122.4483716667,3,,,3,Rissa tridactyla,Black-legged Kittiwake
2023-03-02,2023-03-02 19:57:00 UTC,research,35.73831,-120.26634,,,,,Lanius ludovicianus,Loggerhead Shrike
