observed_on,time_observed_at,quality_grade,latitude,longitude,positional_accuracy,private_latitude,private_longitude,public_positional_accuracy,scientific_name,common_name
2024-03-01,2024-03-01 16:51:00 UTC,research,32.692047079,-117.0510021099,25,,,25,Accipiter striatus,Sharp-shinned Hawk
2024-03-01,2024-03-01 20:23:25 UTC,research,33.7208787188,-118.2781631872,85,,,85,Rissa tridactyla,Black-legged Kittiwake
2024-03-01,2024-03-01 17:28:00 UTC,research,33.963325,-118.4520966667,,,,,Nannopterum auritum,Double-crested Cormorant
2024-03-01,2024-03-01 17:29:00 UTC,research,33.96332,-118.4520533333,,,,,Nannopterum auritum,Double-crested Cormorant
2024-03-01,2024-03-01 17:30:00 UTC,research,33.9633166667,-118.4519983333,,,,,Nannopterum auritum,Double-crested Cormorant
2024-03-01,2024-03-01 15:57:00 UTC,research,34.1798107,-118.4748041,203,,,203,Pandion haliaetus,Osprey
2024-03-01,2024-03-01 20:18:00 UTC,research,37.6041525812,-122.3736402993,32,,,32,Mareca penelope,Eurasian Wigeon
2024-03-01,2024-03-01 20:16:00 UTC,research,37.6041525812,-122.3736402993,32,,,32,Mareca penelope,Eurasian Wigeon
2024-03-01,2024-03-01 20:45:55 UTC,research,34.3901829188,-119.5185901211,68,,,68,Larus heermanni,Heermann's Gull
2024-03-01,2024-03-01 22:05:13 UTC,research,34.03282158,-118.06413143,7,,,7,Pandion haliaetus,Osprey
2024-03-01,2024-03-01 22:09:10 UTC,research,34.03289312,-118.06418129,6,,,6,Pandion haliaetus,Osprey
2024-03-01,2024-03-01 22:13:00 UTC,research,34.03289925,-118.06420351,8,,,8,Pandion haliaetus,Osprey
2024-03-01,2024-03-01 22:19:52 UTC,research,34.03377035,-118.0642958,9,,,9,Nannopterum auritum,Double-crested Cormorant
2024-03-01,2024-03-01 18:29:42 UTC,research,34.0561877891,-116.2211220428,4,,,4,Lanius ludovicianus,Loggerhead Shrike
2024-03-01,2024-03-02 03:00:00 UTC,research,37.2483519105,-120.5856256931,8,,,28417,Selasphorus rufus,Rufous Hummingbird
2024-03-01,2024-03-01 23:10:00 UTC,research,34.0480061349,-118.0878061625,4,,,4,Falco peregrinus,Peregrine Falcon
2024-03-01,2024-03-01 21:52:37 UTC,research,33.243126705,-117.2596082101,4,,,28984,Spea hammondii,Western Spadefoot
2024-03-01,2024-03-01 21:54:54 UTC,research,33.3889540651,-117.205110463,4,,,28984,Spea hammondii,Western Spadefoot
2024-03-01,2024-03-01 21:55:09 UTC,research,33.3714051525,-117.3379399211,4,,,28984,Spea hammondii,Western Spadefoot
2024-03-01,2024-03-01 20:50:59 UTC,research,33.7410693196,-118.1105963446,714,,,714,Melanitta americana,Black Scoter
2024-03-01,2024-03-01 21:58:52 UTC,research,32.7563189203,-117.2401787691,327,,,327,Nycticorax nycticorax,Black-crowned Night Heron
2024-03-01,2024-03-02 00:01:20 UTC,research,32.766384673,-117.2544263676,2651,,,2651,Larus heermanni,Heermann's Gull
2024-03-01,2024-03-02 00:31:30 UTC,research,32.87244074,-117.25219026,6,,,6,Pandion haliaetus,Osprey
2024-03-01,2024-03-02 00:59:11 UTC,research,32.881181247,-117.329005273,30,,,29039,Ptychoramphus aleuticus,Cassin's Auklet
2024-03-01,2024-03-01 17:06:28 UTC,research,33.8941805725,-117.9779551941,59,,,59,Pandion haliaetus,Osprey
2024-03-01,2024-03-01 21:00:17 UTC,research,37.4626116667,-122.2807533333,4,,,4,Circus hudsonius,Northern Harrier
2024-03-01,2024-03-02 01:17:19 UTC,research,34.0575333333,-118.2770216667,4,,,4,Nycticorax nycticorax,Black-crowned Night Heron
2024-03-01,2024-03-02 00:07:00 UTC,research,32.5734333333,-117.1236055556,,,,,Pandion haliaetus,Osprey
2024-03-01,2024-03-02 00:08:00 UTC,research,32.5735527778,-117.1239972222,,,,,Pandion haliaetus,Osprey
2024-03-01,2024-03-01 17:01:00 UTC,research,33.7946666667,-115.2911638889,,,,,Calypte costae,Costa's Hummingbird
2024-03-01,2024-03-01 20:12:00 UTC,research,37.9208964196,-122.0441998011,15,,,15,Nycticorax nycticorax,Black-crowned Night Heron
2024-03-01,2024-03-01 20:12:00 UTC,research,37.920871029,-122.0442427165,15,,,15,Nannopterum auritum,Double-crested Cormorant
2024-03-01,2024-03-01 15:06:00 UTC,research,33.1767129581,-115.6191992544,31,,,31,Polioptila melanura,Black-tailed Gnatcatcher
2024-03-01,2024-03-02 00:12:00 UTC,research,33.5401858606,-117.8874037779,2941,,,2941,Pelecanus occidentalis,Brown Pelican
2024-03-01,2024-03-02 02:34:40 UTC,research,38.3738767732,-122.6635988979,9,,,28270,Rana draytonii,California Red-legged Frog
